benchmark,method,arm,scope,n,correct,accuracy
locomo,evermemos,appendix,control,50,34,0.68
locomo,evermemos,appendix,temporal,150,103,0.6866666666666666
locomo,evermemos,mem0_initial,control,50,41,0.82
locomo,evermemos,mem0_initial,temporal,150,129,0.86
locomo,evermemos,mem0_tuned,control,50,43,0.86
locomo,evermemos,mem0_tuned,temporal,150,128,0.8533333333333334
locomo,mem0,appendix,control,50,11,0.22
locomo,mem0,appendix,temporal,150,9,0.06
locomo,mem0,mem0_initial,control,50,17,0.34
locomo,mem0,mem0_initial,temporal,150,17,0.11333333333333333
locomo,mem0,mem0_tuned,control,50,17,0.34
locomo,mem0,mem0_tuned,temporal,150,19,0.12666666666666668
locomo,memforest,appendix,control,50,41,0.82
locomo,memforest,appendix,temporal,150,107,0.7133333333333334
locomo,memforest,mem0_initial,control,50,44,0.88
locomo,memforest,mem0_initial,temporal,150,131,0.8733333333333333
locomo,memforest,mem0_tuned,control,50,44,0.88
locomo,memforest,mem0_tuned,temporal,150,132,0.88
longmemeval,evermemos,appendix,control,50,32,0.64
longmemeval,evermemos,appendix,temporal,122,64,0.5245901639344263
longmemeval,evermemos,mem0_initial,control,50,34,0.68
longmemeval,evermemos,mem0_initial,temporal,122,70,0.5737704918032787
longmemeval,mem0,appendix,control,50,29,0.58
longmemeval,mem0,appendix,temporal,122,37,0.30327868852459017
longmemeval,mem0,mem0_initial,control,50,35,0.7
longmemeval,mem0,mem0_initial,temporal,122,43,0.3524590163934426
longmemeval,memforest,appendix,control,50,36,0.72
longmemeval,memforest,appendix,temporal,122,96,0.7868852459016393
longmemeval,memforest,mem0_initial,control,50,40,0.8
longmemeval,memforest,mem0_initial,temporal,122,99,0.8114754098360656
