benchmark,method,arm,n,correct,accuracy,mean_agreement,unstable_rate
locomo,evermemos,appendix,200,137,0.685,0.9966666666666667,0.01
locomo,evermemos,mem0_initial,200,170,0.85,0.9966666666666667,0.01
locomo,evermemos,mem0_tuned,200,171,0.855,0.9983333333333333,0.005
locomo,mem0,appendix,200,20,0.1,1.0,0.0
locomo,mem0,mem0_initial,200,34,0.17,0.995,0.015
locomo,mem0,mem0_tuned,200,36,0.18,0.995,0.015
locomo,memforest,appendix,200,148,0.74,1.0,0.0
locomo,memforest,mem0_initial,200,175,0.875,0.9983333333333333,0.005
locomo,memforest,mem0_tuned,200,176,0.88,0.9966666666666667,0.01
longmemeval,evermemos,appendix,172,96,0.5581395348837209,1.0,0.0
longmemeval,evermemos,mem0_initial,172,104,0.6046511627906976,1.0,0.0
longmemeval,mem0,appendix,172,66,0.38372093023255816,1.0,0.0
longmemeval,mem0,mem0_initial,172,78,0.45348837209302323,1.0,0.0
longmemeval,memforest,appendix,172,132,0.7674418604651163,1.0,0.0
longmemeval,memforest,mem0_initial,172,139,0.8081395348837209,1.0,0.0
