model,method,benchmark,slice,n,public_evaluated_n,public_correct,public_accuracy,strict_paired_n,strict_paired_accuracy,public_paired_accuracy
gemma4_12b,evermemos,locomo,adversarial,446,446,193,0.4327354260089686,446,0.08968609865470852,0.4327354260089686
gemma4_12b,evermemos,locomo,cat1-4,1540,1540,1364,0.8857142857142857,1540,0.7610389610389611,0.8857142857142857
gemma4_12b,evermemos,locomo,multi-hop,282,282,253,0.8971631205673759,282,0.599290780141844,0.8971631205673759
gemma4_12b,evermemos,locomo,open-ended,96,96,61,0.6354166666666666,96,0.5833333333333334,0.6354166666666666
gemma4_12b,evermemos,locomo,overall,1986,1986,1557,0.783987915407855,1986,0.6102719033232629,0.783987915407855
gemma4_12b,evermemos,locomo,single-hop,841,841,764,0.9084423305588585,841,0.8275862068965517,0.9084423305588585
gemma4_12b,evermemos,locomo,temporal,321,321,286,0.8909657320872274,321,0.7819314641744548,0.8909657320872274
gemma4_12b,evermemos,longmemeval,knowledge-update,78,78,66,0.8461538461538461,78,0.8589743589743589,0.8461538461538461
gemma4_12b,evermemos,longmemeval,multi-session,133,133,97,0.7293233082706767,133,0.706766917293233,0.7293233082706767
gemma4_12b,evermemos,longmemeval,overall,500,500,390,0.78,500,0.764,0.78
gemma4_12b,evermemos,longmemeval,single-session-assistant,56,56,43,0.7678571428571429,56,0.7678571428571429,0.7678571428571429
gemma4_12b,evermemos,longmemeval,single-session-preference,30,30,25,0.8333333333333334,30,0.8,0.8333333333333334
gemma4_12b,evermemos,longmemeval,single-session-user,70,70,67,0.9571428571428572,70,0.9142857142857143,0.9571428571428572
gemma4_12b,evermemos,longmemeval,temporal-reasoning,133,133,92,0.6917293233082706,133,0.6766917293233082,0.6917293233082706
gemma4_12b,lightmem,locomo,adversarial,446,446,85,0.1905829596412556,446,0.1412556053811659,0.1905829596412556
gemma4_12b,lightmem,locomo,cat1-4,1540,1540,1215,0.788961038961039,1540,0.714935064935065,0.788961038961039
gemma4_12b,lightmem,locomo,multi-hop,282,282,224,0.7943262411347518,282,0.5886524822695035,0.7943262411347518
gemma4_12b,lightmem,locomo,open-ended,96,96,48,0.5,96,0.4270833333333333,0.5
gemma4_12b,lightmem,locomo,overall,1986,1986,1300,0.6545820745216515,1986,0.5861027190332326,0.6545820745216515
gemma4_12b,lightmem,locomo,single-hop,841,841,684,0.8133174791914387,841,0.7812128418549346,0.8133174791914387
gemma4_12b,lightmem,locomo,temporal,321,321,259,0.8068535825545171,321,0.7383177570093458,0.8068535825545171
gemma4_12b,lightmem,longmemeval,knowledge-update,78,78,63,0.8076923076923077,78,0.8205128205128205,0.8076923076923077
gemma4_12b,lightmem,longmemeval,multi-session,133,133,100,0.7518796992481203,133,0.7443609022556391,0.7518796992481203
gemma4_12b,lightmem,longmemeval,overall,500,500,385,0.77,500,0.734,0.77
gemma4_12b,lightmem,longmemeval,single-session-assistant,56,56,21,0.375,56,0.21428571428571427,0.375
gemma4_12b,lightmem,longmemeval,single-session-preference,30,30,26,0.8666666666666667,30,0.8,0.8666666666666667
gemma4_12b,lightmem,longmemeval,single-session-user,70,70,68,0.9714285714285714,70,0.9571428571428572,0.9714285714285714
gemma4_12b,lightmem,longmemeval,temporal-reasoning,133,133,107,0.8045112781954887,133,0.7593984962406015,0.8045112781954887
gemma4_12b,mem0,locomo,adversarial,446,446,115,0.257847533632287,446,0.21300448430493274,0.257847533632287
gemma4_12b,mem0,locomo,cat1-4,1540,1540,903,0.5863636363636363,1540,0.4993506493506494,0.5863636363636363
gemma4_12b,mem0,locomo,multi-hop,282,282,195,0.6914893617021277,282,0.4397163120567376,0.6914893617021277
gemma4_12b,mem0,locomo,open-ended,96,96,35,0.3645833333333333,96,0.3333333333333333,0.3645833333333333
gemma4_12b,mem0,locomo,overall,1986,1986,1018,0.5125881168177241,1986,0.4350453172205438,0.5125881168177241
gemma4_12b,mem0,locomo,single-hop,841,841,491,0.5838287752675386,841,0.5541022592152199,0.5838287752675386
gemma4_12b,mem0,locomo,temporal,321,321,182,0.5669781931464174,321,0.45794392523364486,0.5669781931464174
gemma4_12b,mem0,longmemeval,knowledge-update,78,78,60,0.7692307692307693,78,0.7692307692307693,0.7692307692307693
gemma4_12b,mem0,longmemeval,multi-session,133,133,77,0.5789473684210527,133,0.48120300751879697,0.5789473684210527
gemma4_12b,mem0,longmemeval,overall,500,500,299,0.598,500,0.534,0.598
gemma4_12b,mem0,longmemeval,single-session-assistant,56,56,14,0.25,56,0.125,0.25
gemma4_12b,mem0,longmemeval,single-session-preference,30,30,12,0.4,30,0.3333333333333333,0.4
gemma4_12b,mem0,longmemeval,single-session-user,70,70,68,0.9714285714285714,70,0.9142857142857143,0.9714285714285714
gemma4_12b,mem0,longmemeval,temporal-reasoning,133,133,68,0.5112781954887218,133,0.46616541353383456,0.5112781954887218
gemma4_12b,memforest,locomo,adversarial,446,446,97,0.21748878923766815,446,0.10089686098654709,0.21748878923766815
gemma4_12b,memforest,locomo,cat1-4,1540,1540,1273,0.8266233766233766,1540,0.75,0.8266233766233766
gemma4_12b,memforest,locomo,multi-hop,282,282,252,0.8936170212765957,282,0.7127659574468085,0.8936170212765957
gemma4_12b,memforest,locomo,open-ended,96,96,55,0.5729166666666666,96,0.5520833333333334,0.5729166666666666
gemma4_12b,memforest,locomo,overall,1986,1986,1370,0.6898288016112789,1986,0.6042296072507553,0.6898288016112789
gemma4_12b,memforest,locomo,single-hop,841,841,681,0.8097502972651606,841,0.7681331747919143,0.8097502972651606
gemma4_12b,memforest,locomo,temporal,321,321,285,0.8878504672897196,321,0.794392523364486,0.8878504672897196
gemma4_12b,memforest,longmemeval,knowledge-update,78,78,64,0.8205128205128205,78,0.8205128205128205,0.8205128205128205
gemma4_12b,memforest,longmemeval,multi-session,133,133,99,0.7443609022556391,133,0.7443609022556391,0.7443609022556391
gemma4_12b,memforest,longmemeval,overall,500,500,389,0.778,500,0.768,0.778
