qid,session_id,tree_id,tree_type,is_global_fallback,fact_count,same_tree_collision
28dc39ac,1c1f5ccc_2,entity:cultural_adaptation,entity,False,2,True
28dc39ac,1c1f5ccc_2,entity:india,entity,False,7,True
28dc39ac,1c1f5ccc_2,entity:united_states,entity,False,4,True
28dc39ac,1c1f5ccc_2,entity:us,entity,False,5,True
28dc39ac,1c1f5ccc_2,entity:user,entity,True,12,True
28dc39ac,1c1f5ccc_2,tree:scene:cultural_events_cultural_exploration_fb840e9b,scene,False,1,False
28dc39ac,1c1f5ccc_2,tree:scene:cultural_studies_youth_culture_682042bb,scene,False,1,False
28dc39ac,1c1f5ccc_2,tree:scene:culture_festivals_96135fcd,scene,False,10,True
28dc39ac,1c1f5ccc_2,tree:scene:documentary_a79e65b5,scene,False,2,True
28dc39ac,1c1f5ccc_2,tree:scene:family_family_history_81f642a7,scene,False,8,True
28dc39ac,1c1f5ccc_2,tree:scene:food_blogging_87a53609,scene,False,3,True
28dc39ac,1c1f5ccc_2,tree:scene:food_coffee_2d79cd4b,scene,False,3,True
28dc39ac,1c1f5ccc_2,tree:scene:history_c6ebbda2,scene,False,3,True
28dc39ac,1c1f5ccc_2,tree:scene:identity_5a6e10d6,scene,False,1,False
28dc39ac,1c1f5ccc_2,tree:scene:literature_science_fiction_2829e25d,scene,False,3,True
28dc39ac,1c1f5ccc_2,tree:scene:migration_immigration_experience_ba4175d1,scene,False,2,True
28dc39ac,1c1f5ccc_2,tree:scene:philosophy_194fd46f,scene,False,1,False
28dc39ac,1c1f5ccc_2,tree:scene:religion_ddf93d99,scene,False,1,False
28dc39ac,2aa01951_2,entity:user,entity,True,7,True
28dc39ac,2aa01951_2,tree:scene:food_f958f651,scene,False,3,True
28dc39ac,2aa01951_2,tree:scene:food_meal_planning_79896163,scene,False,29,True
28dc39ac,3e59ee68_2,entity:user,entity,True,10,True
28dc39ac,3e59ee68_2,tree:scene:education_learning_440ca0fb,scene,False,1,False
28dc39ac,3e59ee68_2,tree:scene:gardening_potting_mix_b2746e02,scene,False,28,True
28dc39ac,3e59ee68_2,tree:scene:home_environment_8545ee6b,scene,False,3,True
28dc39ac,3e59ee68_2,tree:scene:plant_care_indoor_plants_db1a1bf1,scene,False,3,True
28dc39ac,3f5df138_1,entity:cultural_adaptation,entity,False,1,False
28dc39ac,3f5df138_1,entity:user,entity,True,13,True
28dc39ac,3f5df138_1,tree:scene:education_learning_440ca0fb,scene,False,1,False
28dc39ac,3f5df138_1,tree:scene:family_family_history_81f642a7,scene,False,8,True
28dc39ac,3f5df138_1,tree:scene:health_morning_routine_67cd11aa,scene,False,21,True
28dc39ac,3f5df138_1,tree:scene:legal_adoption_process_ecbd1465,scene,False,1,False
28dc39ac,3f5df138_1,tree:scene:mental_health_emotional_support_c6ffdc7f,scene,False,1,False
28dc39ac,3f5df138_1,tree:scene:social_social_interaction_a2cc0259,scene,False,1,False
28dc39ac,42bcee92_2,entity:disneyland,entity,False,15,True
28dc39ac,42bcee92_2,entity:user,entity,True,13,True
28dc39ac,42bcee92_2,tree:scene:entertainment_9e598a2a,scene,False,4,True
28dc39ac,42bcee92_2,tree:scene:entertainment_book_description_b3ab265b,scene,False,4,True
28dc39ac,42bcee92_2,tree:scene:fitness_warm-up_ca12afa9,scene,False,15,True
28dc39ac,42bcee92_2,tree:scene:nutrition_breakfast_91051b1b,scene,False,8,True
28dc39ac,42bcee92_2,tree:scene:travel_4e0c1da4,scene,False,1,False
28dc39ac,42bcee92_2,tree:scene:travel_a137e61f,scene,False,9,True
28dc39ac,49b7a8b7_2,entity:billie_eilish,entity,False,1,False
28dc39ac,49b7a8b7_2,entity:character_development,entity,False,2,True
28dc39ac,49b7a8b7_2,entity:chicago,entity,False,1,False
28dc39ac,49b7a8b7_2,entity:geralt,entity,False,7,True
28dc39ac,49b7a8b7_2,entity:geralt_of_rivia,entity,False,1,False
28dc39ac,49b7a8b7_2,entity:netflix,entity,False,1,False
28dc39ac,49b7a8b7_2,entity:stranger_things,entity,False,5,True
28dc39ac,49b7a8b7_2,entity:the_witcher,entity,False,12,True
28dc39ac,49b7a8b7_2,entity:user,entity,True,12,True
28dc39ac,49b7a8b7_2,tree:scene:entertainment_9e598a2a,scene,False,15,True
28dc39ac,49b7a8b7_2,tree:scene:entertainment_book_description_b3ab265b,scene,False,15,True
28dc39ac,49b7a8b7_2,tree:scene:entertainment_character_performance_6a835223,scene,False,1,False
28dc39ac,49b7a8b7_2,tree:scene:film_ae7f57c4,scene,False,16,True
28dc39ac,49b7a8b7_2,tree:scene:tv_character_relationship_a6eded86,scene,False,4,True
28dc39ac,4ed9cd1b_1,entity:user,entity,True,13,True
28dc39ac,4ed9cd1b_1,entity:yosemite_national_park,entity,False,1,False
28dc39ac,4ed9cd1b_1,tree:scene:consumer_goods_product_recommendation_b6b01b79,scene,False,5,True
28dc39ac,4ed9cd1b_1,tree:scene:fitness_warm-up_ca12afa9,scene,False,1,False
28dc39ac,4ed9cd1b_1,tree:scene:lifestyle_morning_routine_1b79b504,scene,False,5,True
28dc39ac,4ed9cd1b_1,tree:scene:outdoor_portability_ce69cfa4,scene,False,9,True
